datafusion-physical-plan	force_hash_collisions	-	-
datafusion-physical-plan	proto	datafusion-physical-expr-common/proto,datafusion-physical-expr/proto,dep:datafusion-proto-common,dep:datafusion-proto-models	-
datafusion-physical-plan	test_utils	arrow/test_utils	-
datafusion-physical-plan	tokio_coop	-	-
datafusion-physical-plan	tokio_coop_fallback	-	-
datafusion-proto	avro	datafusion-datasource-avro	-
datafusion-proto	default	parquet	-
datafusion-proto	json	datafusion-proto-common/json,datafusion-proto-models/json,serde_json	-
datafusion-proto	parquet	datafusion-common/parquet,datafusion-datasource-parquet,datafusion/parquet	default
datafusion-proto	recursive_protection	dep:recursive	-
datafusion-proto-common	default	-	-
datafusion-proto-common	json	pbjson,serde	-
datafusion-proto-models	default	-	-
datafusion-proto-models	json	datafusion-proto-common/json,pbjson,serde	-
datafusion-spark	core	datafusion	-
datafusion-spark	default	-	-
datafusion-sql	default	unicode_expressions,unparser	-
datafusion-sql	recursive_protection	dep:recursive,dep:stacker	-
datafusion-sql	unicode_expressions	-	default
datafusion-sql	unparser	-	default
datafusion-substrait	default	physical	-
datafusion-substrait	physical	datafusion/parquet	default
datafusion-substrait	protoc	substrait/protoc	-
object_store	aws	cloud,md-5	-
object_store	azure	cloud,httparse	-
object_store	cloud	base64,chrono/serde,form_urlencoded,http-body-util,hyper,quick-xml,rand,reqwest,reqwest/stream,ring,serde,serde_json,serde_urlencoded,tokio	-
object_store	default	fs	-
object_store	fs	tokio,walkdir	default
object_store	gcp	cloud,rustls-pki-types	-
object_store	http	cloud	-
object_store	integration	rand,tokio	-
object_store	tls-webpki-roots	reqwest?/rustls-tls-webpki-roots	-
object_store	tokio	dep:tokio,dep:tracing	-
parquet	arrow	arrow-array,arrow-buffer,arrow-data,arrow-ipc,arrow-schema,arrow-select,base64	default
parquet	arrow_canonical_extension_types	arrow-schema?/canonical_extension_types	-
parquet	async	futures,tokio	-
parquet	cli	arrow-csv,base64,clap,json,serde	-
parquet	crc	dep:crc32fast	-
parquet	default	arrow,base64,brotli,flate2-zlib-rs,lz4,simdutf8,snap,zstd	-
parquet	encryption	dep:ring	-
parquet	experimental	variant_experimental	-
parquet	flate2-rust_backend	flate2/rust_backend	-
parquet	flate2-rust_backened	flate2-rust_backend	-
parquet	flate2-zlib-rs	flate2/zlib-rs	default
parquet	geospatial	parquet-geospatial	-
parquet	json	base64,serde_json	-
parquet	lz4	lz4_flex	default
parquet	object_store	async,dep:object_store	-
parquet	simdutf8	dep:simdutf8	default
parquet	test_common	arrow/test_utils	-
parquet	variant_experimental	arrow,parquet-variant,parquet-variant-compute,parquet-variant-json	-
parquet	zstd	dep:zstd	default
parquet-variant	default	simdutf8	-
parquet-variant	simdutf8	dep:simdutf8	default
sqlparser	default	recursive-protection,std	-
sqlparser	derive-dialect	sqlparser_derive	-
sqlparser	json_example	serde,serde_json	-
sqlparser	recursive-protection	recursive,std	default
sqlparser	std	-	default
sqlparser	visitor	sqlparser_derive	-
