arrow_array::array::ArrayRef	is_empty	arrow_array::array::Array	fn is_empty(&self) -> bool	
arrow_array::array::ArrayRef	is_null	arrow_array::array::Array	fn is_null(&self, index: usize) -> bool	
arrow_array::array::ArrayRef	is_nullable	arrow_array::array::Array	fn is_nullable(&self) -> bool	
arrow_array::array::ArrayRef	is_valid	arrow_array::array::Array	fn is_valid(&self, index: usize) -> bool	
arrow_array::array::ArrayRef	len	arrow_array::array::Array	fn len(&self) -> usize	
arrow_array::array::ArrayRef	logical_null_count	arrow_array::array::Array	fn logical_null_count(&self) -> usize	
arrow_array::array::ArrayRef	logical_nulls	arrow_array::array::Array	fn logical_nulls(&self) -> Option<NullBuffer>	
arrow_array::array::ArrayRef	null_count	arrow_array::array::Array	fn null_count(&self) -> usize	
arrow_array::array::ArrayRef	nulls	arrow_array::array::Array	fn nulls(&self) -> Option<&NullBuffer>	
arrow_array::array::ArrayRef	offset	arrow_array::array::Array	fn offset(&self) -> usize	
arrow_array::array::ArrayRef	shrink_to_fit	arrow_array::array::Array	fn shrink_to_fit(&mut self)	For shared buffers, this is a no-op.
arrow_array::array::ArrayRef	slice	arrow_array::array::Array	fn slice(&self, offset: usize, length: usize) -> ArrayRef	
arrow_array::array::ArrayRef	to_data	arrow_array::array::Array	fn to_data(&self) -> ArrayData	
arrow_array::array::BinaryArrayType	iter	-	fn iter(&self) -> ArrayIter<Self>	Constructs a new iterator
arrow_array::array::ListLikeArray	element_range	-	fn element_range(&self, index: usize) -> std::ops::Range<usize>	Returns the start and end indices into the values array for the list element at `index`.
arrow_array::array::ListLikeArray	values	-	fn values(&self) -> &ArrayRef	Returns the child values array.
arrow_array::array::StringArrayType	is_ascii	-	fn is_ascii(&self) -> bool	Returns true if all data within this string array is ASCII
arrow_array::array::StringArrayType	iter	-	fn iter(&self) -> ArrayIter<Self>	Constructs a new iterator
arrow_array::array::binary_array::GenericBinaryArray	from	core::convert::From	fn from(v: GenericListArray<T>) -> Self	
arrow_array::array::binary_array::GenericBinaryArray	from	core::convert::From	fn from(value: GenericStringArray<OffsetSize>) -> Self	
arrow_array::array::boolean_array::BooleanArray	as_any	arrow_array::array::Array	fn as_any(&self) -> &dyn Any	
arrow_array::array::boolean_array::BooleanArray	bitwise_bin_op	-	fn bitwise_bin_op<F>(&self, rhs: &BooleanArray, op: F) -> BooleanArray where F: FnMut(u64, u64) -> u64	Apply a bitwise binary operation to this array and `rhs` using u64 operations, returning a new [`BooleanArray`].
arrow_array::array::boolean_array::BooleanArray	bitwise_bin_op_mut	-	fn bitwise_bin_op_mut<F>(self, rhs: &BooleanArray, op: F) -> Result<BooleanArray, BooleanArray> where F: FnMut(u64, u64) -> u64	Try to apply a bitwise binary operation to this array and `rhs` in place using u64 operations.
arrow_array::array::boolean_array::BooleanArray	bitwise_bin_op_mut_or_clone	-	fn bitwise_bin_op_mut_or_clone<F>(self, rhs: &BooleanArray, op: F) -> BooleanArray where F: FnMut(u64, u64) -> u64	Apply a bitwise binary operation to this array and `rhs` in place if the buffer is uniquely owned, or clone and apply if shared.
arrow_array::array::boolean_array::BooleanArray	bitwise_unary	-	fn bitwise_unary<F>(&self, op: F) -> BooleanArray where F: FnMut(u64) -> u64	Apply a bitwise operation to this array's values using u64 operations, returning a new [`BooleanArray`].
arrow_array::array::boolean_array::BooleanArray	bitwise_unary_mut	-	fn bitwise_unary_mut<F>(self, op: F) -> Result<BooleanArray, BooleanArray> where F: FnMut(u64) -> u64	Try to apply a bitwise operation to this array's values in place using u64 operations.
arrow_array::array::boolean_array::BooleanArray	bitwise_unary_mut_or_clone	-	fn bitwise_unary_mut_or_clone<F>(self, op: F) -> BooleanArray where F: FnMut(u64) -> u64	Apply a bitwise operation to this array's values in place if the buffer is uniquely owned, or clone and apply if shared.
arrow_array::array::boolean_array::BooleanArray	builder	-	fn builder(capacity: usize) -> BooleanBuilder	Returns a new boolean array builder
arrow_array::array::boolean_array::BooleanArray	claim	arrow_array::array::Array	fn claim(&self, pool: &dyn arrow_buffer::MemoryPool)	
arrow_array::array::boolean_array::BooleanArray	data_type	arrow_array::array::Array	fn data_type(&self) -> &DataType	
arrow_array::array::boolean_array::BooleanArray	false_count	-	fn false_count(&self) -> usize	Returns the number of non null, false values within this array. If you only need to check if there is at least one false value, consider using `has_false()` which can short-circuit and be more efficient.
arrow_array::array::boolean_array::BooleanArray	from	core::convert::From	fn from(data: ArrayData) -> Self	
arrow_array::array::boolean_array::BooleanArray	from	core::convert::From	fn from(data: Vec<Option<bool>>) -> Self	
arrow_array::array::boolean_array::BooleanArray	from	core::convert::From	fn from(data: Vec<bool>) -> Self	
arrow_array::array::boolean_array::BooleanArray	from	core::convert::From	fn from(values: BooleanBuffer) -> Self	
arrow_array::array::boolean_array::BooleanArray	from_binary	-	fn from_binary<T: ArrayAccessor, S: ArrayAccessor, F>(left: T, right: S, op: F) -> Self where F: FnMut(T::Item, S::Item) -> bool	Create a [`BooleanArray`] by evaluating the binary operation for each element of the provided arrays
arrow_array::array::boolean_array::BooleanArray	from_iter	core::iter::traits::collect::FromIterator	fn from_iter<I: IntoIterator<Item = Ptr>>(iter: I) -> Self	
arrow_array::array::boolean_array::BooleanArray	from_trusted_len_iter	-	unsafe fn from_trusted_len_iter<I, P>(iter: I) -> Self where P: Into<BooleanAdapter>, I: ExactSizeIterator<Item = P>	Creates a [`BooleanArray`] from an iterator of trusted length.
arrow_array::array::boolean_array::BooleanArray	from_unary	-	fn from_unary<T: ArrayAccessor, F>(left: T, op: F) -> Self where F: FnMut(T::Item) -> bool	Create a [`BooleanArray`] by evaluating the operation for each element of the provided array
arrow_array::array::boolean_array::BooleanArray	get_array_memory_size	arrow_array::array::Array	fn get_array_memory_size(&self) -> usize	
arrow_array::array::boolean_array::BooleanArray	get_buffer_memory_size	arrow_array::array::Array	fn get_buffer_memory_size(&self) -> usize	
arrow_array::array::boolean_array::BooleanArray	has_false	-	fn has_false(&self) -> bool	Returns whether there is at least one non-null `false` value in this array.
