deltalake-opendal	opendal-azdls	opendal/services-azdls	-
deltalake-opendal	opendal-b2	opendal/services-b2	-
deltalake-opendal	opendal-cos	opendal/services-cos	-
deltalake-opendal	opendal-fs	opendal/services-fs	default
deltalake-opendal	opendal-ftp	opendal/services-ftp	-
deltalake-opendal	opendal-gcs	opendal/services-gcs	-
deltalake-opendal	opendal-hf	opendal/services-hf	-
deltalake-opendal	opendal-memory	opendal/services-memory	default
deltalake-opendal	opendal-obs	opendal/services-obs	-
deltalake-opendal	opendal-oss	opendal/services-oss	-
deltalake-opendal	opendal-s3	opendal/services-s3	-
deltalake-opendal	opendal-sftp	opendal/services-sftp	-
deltalake-opendal	opendal-swift	opendal/services-swift	-
deltalake-opendal	opendal-tos	opendal/services-tos	-
deltalake-opendal	opendal-webdav	opendal/services-webdav	-
deltalake-opendal	opendal-webhdfs	opendal/services-webhdfs	-
deltalake-opendal	rustls	deltalake-core/rustls,opendal/reqwest-rustls-tls	default
