datafusion_tracing::rule_instrumentation::phase_names::ANALYZE_LOGICAL_PLAN	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.phase_names.md	0	0	-
datafusion_tracing::rule_instrumentation::phase_names::OPTIMIZE_LOGICAL_PLAN	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.phase_names.md	0	0	-
datafusion_tracing::rule_instrumentation::phase_names::OPTIMIZE_PHYSICAL_PLAN	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.phase_names.md	0	0	-
datafusion_tracing::rule_instrumentation::record_modified_rule_in_context	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Records that a rule modified the plan in the current phase.
datafusion_tracing::rule_instrumentation::sentinel_names::ANALYZER	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.sentinel_names.md	0	0	-
datafusion_tracing::rule_instrumentation::sentinel_names::OPTIMIZER	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.sentinel_names.md	0	0	-
datafusion_tracing::rule_instrumentation::sentinel_names::PHYSICAL_OPTIMIZER	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.sentinel_names.md	0	0	-
datafusion_tracing::rule_options::InstrumentationLevel	enum	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_options.md	0	6	Instrumentation level for a phase (analyzer, optimizer, or physical optimizer).
datafusion_tracing::rule_options::RuleInstrumentationOptions	struct	datafusion-tracing	datafusion-tracing	supported	-	api/datafusion_tracing.rule_options.md	1	7	Configuration options for instrumented DataFusion rules (Analyzer, Optimizer, Physical Optimizer).
datafusion_tracing::rule_options::RuleInstrumentationOptionsBuilder	struct	datafusion-tracing	datafusion-tracing	reachable-undocumented	RuleInstrumentationOptions::builder()	api/datafusion_tracing.rule_options.md	0	11	The builder for `RuleInstrumentationOptions`.
datafusion_tracing::utils::DefaultDisplay	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.utils.md	0	1	Helper struct for default display formatting of an `ExecutionPlan`.
